Freq.	V(n003)
5.00000000000000e+03	(2.35215496543949e+01dB,-8.31202095063420e-02°)
5.02307895139198e+03	(2.35215496604355e+01dB,-8.35038752904002e-02°)
5.04626443038342e+03	(2.35215496665320e+01dB,-8.38893119998309e-02°)
5.06955692868340e+03	(2.35215496726849e+01dB,-8.42765278089214e-02°)
5.09295694027059e+03	(2.35215496788947e+01dB,-8.46655309296839e-02°)
5.11646496140377e+03	(2.35215496851620e+01dB,-8.50563296120424e-02°)
5.14008149063237e+03	(2.35215496914873e+01dB,-8.54489321439975e-02°)
5.16380702880699e+03	(2.35215496978710e+01dB,-8.58433468518077e-02°)
5.18764207909007e+03	(2.35215497043139e+01dB,-8.62395821001659e-02°)
5.21158714696652e+03	(2.35215497108164e+01dB,-8.66376462923735e-02°)
5.23564274025450e+03	(2.35215497173790e+01dB,-8.70375478705227e-02°)
5.25980936911612e+03	(2.35215497240024e+01dB,-8.74392953156736e-02°)
5.28408754606830e+03	(2.35215497306870e+01dB,-8.78428971480324e-02°)
5.30847778599363e+03	(2.35215497374335e+01dB,-8.82483619271337e-02°)
5.33298060615129e+03	(2.35215497442425e+01dB,-8.86556982520249e-02°)
5.35759652618804e+03	(2.35215497511144e+01dB,-8.90649147614430e-02°)
5.38232606814918e+03	(2.35215497580499e+01dB,-8.94760201340022e-02°)
5.40716975648969e+03	(2.35215497650496e+01dB,-8.98890230883746e-02°)
5.43212811808533e+03	(2.35215497721140e+01dB,-9.03039323834796e-02°)
5.45720168224379e+03	(2.35215497792438e+01dB,-9.07207568186656e-02°)
5.48239098071593e+03	(2.35215497864396e+01dB,-9.11395052338969e-02°)
5.50769654770708e+03	(2.35215497937019e+01dB,-9.15601865099451e-02°)
5.53311891988834e+03	(2.35215498010315e+01dB,-9.19828095685727e-02°)
5.55865863640796e+03	(2.35215498084289e+01dB,-9.24073833727255e-02°)
5.58431623890281e+03	(2.35215498158947e+01dB,-9.28339169267188e-02°)
5.61009227150982e+03	(2.35215498234296e+01dB,-9.32624192764343e-02°)
5.63598728087756e+03	(2.35215498310342e+01dB,-9.36928995095074e-02°)
5.66200181617779e+03	(2.35215498387092e+01dB,-9.41253667555222e-02°)
5.68813642911716e+03	(2.35215498464552e+01dB,-9.45598301862032e-02°)
5.71439167394887e+03	(2.35215498542729e+01dB,-9.49962990156126e-02°)
5.74076810748442e+03	(2.35215498621629e+01dB,-9.54347825003399e-02°)
5.76726628910547e+03	(2.35215498701259e+01dB,-9.58752899397094e-02°)
5.79388678077564e+03	(2.35215498781625e+01dB,-9.63178306759631e-02°)
5.82063014705246e+03	(2.35215498862736e+01dB,-9.67624140944697e-02°)
5.84749695509936e+03	(2.35215498944597e+01dB,-9.72090496239220e-02°)
5.87448777469766e+03	(2.35215499027215e+01dB,-9.76577467365302e-02°)
5.90160317825866e+03	(2.35215499110598e+01dB,-9.81085149482325e-02°)
5.92884374083581e+03	(2.35215499194752e+01dB,-9.85613638188868e-02°)
5.95621004013688e+03	(2.35215499279685e+01dB,-9.90163029524856e-02°)
5.98370265653623e+03	(2.35215499365404e+01dB,-9.94733419973474e-02°)
6.01132217308708e+03	(2.35215499451916e+01dB,-9.99324906463262e-02°)
6.03906917553391e+03	(2.35215499539228e+01dB,-1.00393758637024e-01°)
6.06694425232490e+03	(2.35215499627349e+01dB,-1.00857155751981e-01°)
6.09494799462435e+03	(2.35215499716284e+01dB,-1.01322691818905e-01°)
6.12308099632526e+03	(2.35215499806043e+01dB,-1.01790376710860e-01°)
6.15134385406192e+03	(2.35215499896632e+01dB,-1.02260220346484e-01°)
6.17973716722257e+03	(2.35215499988059e+01dB,-1.02732232690200e-01°)
6.20826153796207e+03	(2.35215500080332e+01dB,-1.03206423752431e-01°)
6.23691757121473e+03	(2.35215500173459e+01dB,-1.03682803589798e-01°)
6.26570587470710e+03	(2.35215500267448e+01dB,-1.04161382305350e-01°)
6.29462705897085e+03	(2.35215500362306e+01dB,-1.04642170048771e-01°)
6.32368173735578e+03	(2.35215500458042e+01dB,-1.05125177016593e-01°)
6.35287052604273e+03	(2.35215500554664e+01dB,-1.05610413452415e-01°)
6.38219404405674e+03	(2.35215500652179e+01dB,-1.06097889647123e-01°)
6.41165291328013e+03	(2.35215500750597e+01dB,-1.06587615939100e-01°)
6.44124775846569e+03	(2.35215500849926e+01dB,-1.07079602714456e-01°)
6.47097920724995e+03	(2.35215500950174e+01dB,-1.07573860407241e-01°)
6.50084789016647e+03	(2.35215501051349e+01dB,-1.08070399499665e-01°)
6.53085444065923e+03	(2.35215501153460e+01dB,-1.08569230522329e-01°)
6.56099949509604e+03	(2.35215501256517e+01dB,-1.09070364054441e-01°)
6.59128369278206e+03	(2.35215501360526e+01dB,-1.09573810724040e-01°)
6.62170767597335e+03	(2.35215501465498e+01dB,-1.10079581208224e-01°)
6.65227208989048e+03	(2.35215501571442e+01dB,-1.10587686233379e-01°)
6.68297758273224e+03	(2.35215501678365e+01dB,-1.11098136575406e-01°)
6.71382480568934e+03	(2.35215501786278e+01dB,-1.11610943059938e-01°)
6.74481441295829e+03	(2.35215501895190e+01dB,-1.12126116562587e-01°)
6.77594706175521e+03	(2.35215502005109e+01dB,-1.12643668009167e-01°)
6.80722341232978e+03	(2.35215502116045e+01dB,-1.13163608375919e-01°)
6.83864412797927e+03	(2.35215502228008e+01dB,-1.13685948689755e-01°)
6.87020987506260e+03	(2.35215502341006e+01dB,-1.14210700028488e-01°)
6.90192132301445e+03	(2.35215502455050e+01dB,-1.14737873521059e-01°)
6.93377914435947e+03	(2.35215502570150e+01dB,-1.15267480347788e-01°)
6.96578401472655e+03	(2.35215502686314e+01dB,-1.15799531740602e-01°)
6.99793661286312e+03	(2.35215502803553e+01dB,-1.16334038983270e-01°)
7.03023762064960e+03	(2.35215502921877e+01dB,-1.16871013411652e-01°)
7.06268772311380e+03	(2.35215503041295e+01dB,-1.17410466413930e-01°)
7.09528760844549e+03	(2.35215503161819e+01dB,-1.17952409430859e-01°)
7.12803796801097e+03	(2.35215503283458e+01dB,-1.18496853955998e-01°)
7.16093949636775e+03	(2.35215503406222e+01dB,-1.19043811535966e-01°)
7.19399289127926e+03	(2.35215503530122e+01dB,-1.19593293770678e-01°)
7.22719885372967e+03	(2.35215503655168e+01dB,-1.20145312313594e-01°)
7.26055808793875e+03	(2.35215503781372e+01dB,-1.20699878871970e-01°)
7.29407130137678e+03	(2.35215503908743e+01dB,-1.21257005207101e-01°)
7.32773920477959e+03	(2.35215504037293e+01dB,-1.21816703134571e-01°)
7.36156251216363e+03	(2.35215504167032e+01dB,-1.22378984524505e-01°)
7.39554194084107e+03	(2.35215504297971e+01dB,-1.22943861301824e-01°)
7.42967821143507e+03	(2.35215504430122e+01dB,-1.23511345446491e-01°)
7.46397204789502e+03	(2.35215504563496e+01dB,-1.24081448993769e-01°)
