ipd	V(n003)
-5.000000000000001e-07	1.640826e+00
-4.900000000000001e-07	1.640640e+00
-4.800000000000001e-07	1.640450e+00
-4.700000000000001e-07	1.640254e+00
-4.600000000000000e-07	1.640055e+00
-4.500000000000000e-07	1.639850e+00
-4.400000000000000e-07	1.639640e+00
-4.300000000000000e-07	1.639424e+00
-4.200000000000000e-07	1.639202e+00
-4.100000000000000e-07	1.638974e+00
-4.000000000000000e-07	1.638739e+00
-3.900000000000000e-07	1.638496e+00
-3.800000000000000e-07	1.638245e+00
-3.700000000000000e-07	1.637986e+00
-3.599999999999999e-07	1.637717e+00
-3.499999999999999e-07	1.637438e+00
-3.399999999999999e-07	1.637148e+00
-3.299999999999999e-07	1.636846e+00
-3.199999999999999e-07	1.636531e+00
-3.099999999999999e-07	1.636201e+00
-2.999999999999999e-07	1.635854e+00
-2.899999999999999e-07	1.635489e+00
-2.799999999999999e-07	1.635103e+00
-2.699999999999999e-07	1.634693e+00
-2.599999999999998e-07	1.634256e+00
-2.499999999999998e-07	1.633787e+00
-2.399999999999998e-07	1.633281e+00
-2.299999999999998e-07	1.632731e+00
-2.199999999999998e-07	1.632127e+00
-2.099999999999998e-07	1.631455e+00
-1.999999999999998e-07	1.630697e+00
-1.899999999999998e-07	1.629826e+00
-1.799999999999998e-07	1.628796e+00
-1.699999999999997e-07	1.627532e+00
-1.599999999999997e-07	1.625885e+00
-1.499999999999997e-07	1.623518e+00
-1.399999999999997e-07	1.619482e+00
-1.299999999999997e-07	1.612058e+00
-1.199999999999997e-07	1.603597e+00
-1.099999999999997e-07	1.596134e+00
-9.999999999999970e-08	1.589417e+00
-8.999999999999971e-08	1.583152e+00
-7.999999999999971e-08	1.577118e+00
-6.999999999999971e-08	1.571127e+00
-5.999999999999972e-08	1.564978e+00
-4.999999999999972e-08	1.558398e+00
-3.999999999999972e-08	1.551826e+00
-2.999999999999973e-08	1.547763e+00
-1.999999999999973e-08	1.545738e+00
-9.999999999999726e-09	1.545367e+00
2.746239633676052e-22	1.545367e+00
1.000000000000027e-08	1.545367e+00
2.000000000000028e-08	1.545367e+00
3.000000000000028e-08	1.545367e+00
4.000000000000028e-08	1.545367e+00
5.000000000000028e-08	1.545367e+00
6.000000000000027e-08	1.545367e+00
7.000000000000027e-08	1.545367e+00
8.000000000000027e-08	1.545367e+00
9.000000000000026e-08	1.545367e+00
1.000000000000003e-07	1.545367e+00
1.100000000000003e-07	1.545367e+00
1.200000000000003e-07	1.545367e+00
1.300000000000003e-07	1.545367e+00
1.400000000000003e-07	1.545367e+00
1.500000000000003e-07	1.545367e+00
1.600000000000003e-07	1.545367e+00
1.700000000000003e-07	1.545367e+00
1.800000000000003e-07	1.545367e+00
1.900000000000003e-07	1.545367e+00
2.000000000000003e-07	1.545367e+00
2.100000000000003e-07	1.545367e+00
2.200000000000004e-07	1.545367e+00
2.300000000000004e-07	1.545367e+00
2.400000000000003e-07	1.545367e+00
2.500000000000004e-07	1.545367e+00
2.600000000000004e-07	1.545367e+00
2.700000000000004e-07	1.545367e+00
2.800000000000004e-07	1.545367e+00
2.900000000000004e-07	1.545367e+00
3.000000000000004e-07	1.545367e+00
3.100000000000004e-07	1.545367e+00
3.200000000000004e-07	1.545367e+00
3.300000000000004e-07	1.545367e+00
3.400000000000005e-07	1.545367e+00
3.500000000000005e-07	1.545367e+00
3.600000000000005e-07	1.545367e+00
3.700000000000005e-07	1.545367e+00
3.800000000000005e-07	1.545367e+00
3.900000000000005e-07	1.545367e+00
4.000000000000005e-07	1.545367e+00
4.100000000000005e-07	1.545367e+00
4.200000000000005e-07	1.545367e+00
4.300000000000005e-07	1.545367e+00
4.400000000000006e-07	1.545367e+00
4.500000000000006e-07	1.545367e+00
4.600000000000006e-07	1.545367e+00
4.700000000000006e-07	1.545367e+00
4.800000000000006e-07	1.545367e+00
4.900000000000006e-07	1.545367e+00
5.000000000000001e-07	1.545367e+00
