v1	V(n001)	V(n002)	I(D)
-1.000000000000000e+01	-3.224998e-08	-1.347791e+01	-1.348791e-11
-9.990000000000000e+00	-3.224529e-08	-1.347791e+01	-1.348791e-11
-9.980000000000000e+00	-3.224060e-08	-1.347791e+01	-1.348791e-11
-9.970000000000001e+00	-3.223591e-08	-1.347791e+01	-1.348791e-11
-9.960000000000001e+00	-3.223122e-08	-1.347790e+01	-1.348790e-11
-9.950000000000001e+00	-3.222653e-08	-1.347790e+01	-1.348790e-11
-9.940000000000001e+00	-3.222184e-08	-1.347790e+01	-1.348790e-11
-9.930000000000001e+00	-3.221715e-08	-1.347790e+01	-1.348790e-11
-9.920000000000002e+00	-3.221245e-08	-1.347790e+01	-1.348790e-11
-9.910000000000002e+00	-3.220777e-08	-1.347790e+01	-1.348790e-11
-9.900000000000002e+00	-3.220308e-08	-1.347790e+01	-1.348790e-11
-9.890000000000002e+00	-3.219838e-08	-1.347790e+01	-1.348790e-11
-9.880000000000003e+00	-3.219369e-08	-1.347789e+01	-1.348789e-11
-9.870000000000003e+00	-3.218900e-08	-1.347789e+01	-1.348789e-11
-9.860000000000003e+00	-3.218431e-08	-1.347789e+01	-1.348789e-11
-9.850000000000003e+00	-3.217962e-08	-1.347789e+01	-1.348789e-11
-9.840000000000003e+00	-3.217493e-08	-1.347789e+01	-1.348789e-11
-9.830000000000004e+00	-3.217024e-08	-1.347789e+01	-1.348789e-11
-9.820000000000004e+00	-3.216555e-08	-1.347789e+01	-1.348789e-11
-9.810000000000004e+00	-3.216086e-08	-1.347789e+01	-1.348789e-11
-9.800000000000004e+00	-3.215617e-08	-1.347788e+01	-1.348788e-11
-9.790000000000004e+00	-3.215148e-08	-1.347788e+01	-1.348788e-11
-9.780000000000005e+00	-3.214678e-08	-1.347788e+01	-1.348788e-11
-9.770000000000005e+00	-3.214209e-08	-1.347788e+01	-1.348788e-11
-9.760000000000005e+00	-3.213740e-08	-1.347788e+01	-1.348788e-11
-9.750000000000005e+00	-3.213271e-08	-1.347788e+01	-1.348788e-11
-9.740000000000006e+00	-3.212802e-08	-1.347788e+01	-1.348788e-11
-9.730000000000006e+00	-3.212333e-08	-1.347788e+01	-1.348788e-11
-9.720000000000006e+00	-3.211864e-08	-1.347787e+01	-1.348787e-11
-9.710000000000006e+00	-3.211395e-08	-1.347787e+01	-1.348787e-11
-9.700000000000006e+00	-3.210926e-08	-1.347787e+01	-1.348787e-11
-9.690000000000007e+00	-3.210457e-08	-1.347787e+01	-1.348787e-11
-9.680000000000007e+00	-3.209988e-08	-1.347787e+01	-1.348787e-11
-9.670000000000007e+00	-3.209519e-08	-1.347787e+01	-1.348787e-11
-9.660000000000007e+00	-3.209049e-08	-1.347787e+01	-1.348787e-11
-9.650000000000007e+00	-3.208580e-08	-1.347787e+01	-1.348787e-11
-9.640000000000008e+00	-3.208111e-08	-1.347787e+01	-1.348787e-11
-9.630000000000008e+00	-3.207642e-08	-1.347786e+01	-1.348786e-11
-9.620000000000008e+00	-3.207173e-08	-1.347786e+01	-1.348786e-11
-9.610000000000008e+00	-3.206704e-08	-1.347786e+01	-1.348786e-11
-9.600000000000009e+00	-3.206235e-08	-1.347786e+01	-1.348786e-11
-9.590000000000009e+00	-3.205766e-08	-1.347786e+01	-1.348786e-11
-9.580000000000009e+00	-3.205297e-08	-1.347786e+01	-1.348786e-11
-9.570000000000009e+00	-3.204828e-08	-1.347786e+01	-1.348786e-11
-9.560000000000009e+00	-3.204359e-08	-1.347786e+01	-1.348785e-11
-9.550000000000010e+00	-3.203889e-08	-1.347785e+01	-1.348785e-11
-9.540000000000010e+00	-3.203420e-08	-1.347785e+01	-1.348785e-11
-9.530000000000010e+00	-3.202952e-08	-1.347785e+01	-1.348785e-11
-9.520000000000010e+00	-3.202482e-08	-1.347785e+01	-1.348785e-11
-9.510000000000010e+00	-3.202013e-08	-1.347785e+01	-1.348785e-11
-9.500000000000011e+00	-3.201544e-08	-1.347785e+01	-1.348785e-11
-9.490000000000011e+00	-3.201075e-08	-1.347785e+01	-1.348785e-11
-9.480000000000011e+00	-3.200606e-08	-1.347785e+01	-1.348785e-11
-9.470000000000011e+00	-3.200137e-08	-1.347784e+01	-1.348784e-11
-9.460000000000012e+00	-3.199668e-08	-1.347784e+01	-1.348784e-11
-9.450000000000012e+00	-3.199199e-08	-1.347784e+01	-1.348784e-11
-9.440000000000012e+00	-3.198729e-08	-1.347784e+01	-1.348784e-11
-9.430000000000012e+00	-3.198261e-08	-1.347784e+01	-1.348784e-11
-9.420000000000012e+00	-3.197792e-08	-1.347784e+01	-1.348784e-11
-9.410000000000013e+00	-3.197322e-08	-1.347784e+01	-1.348784e-11
-9.400000000000013e+00	-3.196853e-08	-1.347784e+01	-1.348784e-11
