ipd	V(n003)
-5.000000000000001e-07	1.237950e+00
-4.900000000000001e-07	1.237683e+00
-4.800000000000001e-07	1.237401e+00
-4.700000000000001e-07	1.237104e+00
-4.600000000000000e-07	1.236790e+00
-4.500000000000000e-07	1.236458e+00
-4.400000000000000e-07	1.236107e+00
-4.300000000000000e-07	1.235735e+00
-4.200000000000000e-07	1.235342e+00
-4.100000000000000e-07	1.234925e+00
-4.000000000000000e-07	1.234482e+00
-3.900000000000000e-07	1.234012e+00
-3.800000000000000e-07	1.233512e+00
-3.700000000000000e-07	1.232980e+00
-3.599999999999999e-07	1.232413e+00
-3.499999999999999e-07	1.231807e+00
-3.399999999999999e-07	1.231159e+00
-3.299999999999999e-07	1.230464e+00
-3.199999999999999e-07	1.229717e+00
-3.099999999999999e-07	1.228913e+00
-2.999999999999999e-07	1.228045e+00
-2.899999999999999e-07	1.227105e+00
-2.799999999999999e-07	1.226083e+00
-2.699999999999999e-07	1.224969e+00
-2.599999999999998e-07	1.223747e+00
-2.499999999999998e-07	1.222402e+00
-2.399999999999998e-07	1.220913e+00
-2.299999999999998e-07	1.219252e+00
-2.199999999999998e-07	1.217388e+00
-2.099999999999998e-07	1.215275e+00
-1.999999999999998e-07	1.212855e+00
-1.899999999999998e-07	1.210048e+00
-1.799999999999998e-07	1.206738e+00
-1.699999999999997e-07	1.202757e+00
-1.599999999999997e-07	1.197841e+00
-1.499999999999997e-07	1.191550e+00
-1.399999999999997e-07	1.183085e+00
-1.299999999999997e-07	1.170776e+00
-1.199999999999997e-07	1.150415e+00
-1.099999999999997e-07	1.108943e+00
-9.999999999999970e-08	1.025116e+00
-8.999999999999971e-08	9.220719e-01
-7.999999999999971e-08	8.179502e-01
-6.999999999999971e-08	7.142496e-01
-5.999999999999972e-08	6.110331e-01
-4.999999999999972e-08	5.082976e-01
-3.999999999999972e-08	4.060315e-01
-2.999999999999973e-08	3.042155e-01
-1.999999999999973e-08	2.028188e-01
-9.999999999999726e-09	1.019171e-01
2.746239633676052e-22	1.597552e-03
1.000000000000027e-08	-9.872214e-02
2.000000000000028e-08	-1.990420e-01
3.000000000000028e-08	-2.993620e-01
4.000000000000028e-08	-3.996822e-01
5.000000000000028e-08	-5.000025e-01
6.000000000000027e-08	-6.003230e-01
7.000000000000027e-08	-7.006436e-01
8.000000000000027e-08	-8.009644e-01
9.000000000000026e-08	-9.012854e-01
1.000000000000003e-07	-1.001607e+00
1.100000000000003e-07	-1.101928e+00
1.200000000000003e-07	-1.202249e+00
1.300000000000003e-07	-1.302571e+00
1.400000000000003e-07	-1.402893e+00
1.500000000000003e-07	-1.503215e+00
1.600000000000003e-07	-1.603537e+00
1.700000000000003e-07	-1.703859e+00
1.800000000000003e-07	-1.804181e+00
1.900000000000003e-07	-1.904504e+00
2.000000000000003e-07	-2.004827e+00
2.100000000000003e-07	-2.105150e+00
2.200000000000004e-07	-2.205473e+00
2.300000000000004e-07	-2.305796e+00
2.400000000000003e-07	-2.406120e+00
2.500000000000004e-07	-2.506443e+00
2.600000000000004e-07	-2.606767e+00
2.700000000000004e-07	-2.707091e+00
2.800000000000004e-07	-2.807415e+00
2.900000000000004e-07	-2.907739e+00
3.000000000000004e-07	-3.008064e+00
3.100000000000004e-07	-3.108388e+00
3.200000000000004e-07	-3.208713e+00
3.300000000000004e-07	-3.309038e+00
3.400000000000005e-07	-3.409363e+00
3.500000000000005e-07	-3.509688e+00
3.600000000000005e-07	-3.610014e+00
3.700000000000005e-07	-3.710339e+00
3.800000000000005e-07	-3.810665e+00
3.900000000000005e-07	-3.910991e+00
4.000000000000005e-07	-4.011317e+00
4.100000000000005e-07	-4.111643e+00
4.200000000000005e-07	-4.211970e+00
4.300000000000005e-07	-4.312296e+00
4.400000000000006e-07	-4.412623e+00
4.500000000000006e-07	-4.512950e+00
4.600000000000006e-07	-4.613277e+00
4.700000000000006e-07	-4.713605e+00
4.800000000000006e-07	-4.813932e+00
4.900000000000006e-07	-4.914260e+00
5.000000000000001e-07	-5.014588e+00
